filename,character,confidence
char_0001.png,夫,1.0000
char_0002.png,紙,1.0000
char_0003.png,者,1.0000
char_0004.png,陣,1.0000
char_0005.png,也,1.0000
char_0006.png,筆,1.0000
char_0007.png,者,1.0000
char_0008.png,刀,1.0000
char_0009.png,稍,1.0000
char_0010.png,也,1.0000
char_0011.png,墨,1.0000
char_0012.png,者,1.0000
char_0013.png,鍪,1.0000
char_0014.png,甲,1.0000
char_0015.png,也,1.0000
char_0016.png,水,1.0000
char_0017.png,硯,1.0000
char_0018.png,者,1.0000
char_0019.png,城,1.0000
char_0020.png,池,1.0000
char_0021.png,也,1.0000
char_0022.png,心,1.0000
char_0023.png,意,1.0000
char_0024.png,者,1.0000
char_0025.png,將,1.0000
char_0026.png,軍,1.0000
char_0027.png,也,1.0000
char_0028.png,本,1.0000
char_0029.png,領,1.0000
char_0030.png,者,1.0000
char_0031.png,副,1.0000
char_0032.png,將,1.0000
char_0033.png,也,1.0000
char_0034.png,結,1.0000
char_0035.png,構,1.0000
char_0036.png,者,1.0000
char_0037.png,謀,1.0000
char_0038.png,略,1.0000
char_0039.png,也,1.0000
char_0040.png,颺,1.0000
char_0041.png,筆,1.0000
char_0042.png,者,1.0000
char_0043.png,吉,1.0000
char_0044.png,凶,1.0000
char_0045.png,也,1.0000
char_0046.png,出,1.0000
char_0047.png,入,1.0000
char_0048.png,者,1.0000
char_0049.png,號,1.0000
char_0050.png,令,1.0000
char_0051.png,也,1.0000
char_0052.png,屈,1.0000
char_0053.png,折,1.0000
char_0054.png,者,1.0000
char_0055.png,殺,1.0000
char_0056.png,戮,1.0000
char_0057.png,也,1.0000
char_0058.png,夫,1.0000
char_0059.png,欲,1.0000
char_0060.png,書,1.0000
char_0061.png,者,1.0000
char_0062.png,先,1.0000
char_0063.png,乾,1.0000
char_0064.png,研,1.0000
char_0065.png,墨,1.0000
char_0066.png,凝,1.0000
char_0067.png,神,1.0000
char_0068.png,靜,1.0000
char_0069.png,思,1.0000
char_0070.png,預,1.0000
char_0071.png,想,1.0000
char_0072.png,字,1.0000
char_0073.png,形,1.0000
char_0074.png,大,1.0000
char_0075.png,小,1.0000
char_0076.png,偃,1.0000
char_0077.png,仰,1.0000
char_0078.png,平,1.0000
char_0079.png,直,1.0000
char_0080.png,振,1.0000
char_0081.png,動,1.0000
char_0082.png,筋,1.0000
char_0083.png,脈,1.0000
char_0084.png,相,1.0000
char_0085.png,連,1.0000
char_0086.png,意,1.0000
char_0087.png,在,1.0000
char_0088.png,筆,1.0000
char_0089.png,前,1.0000
char_0090.png,然,1.0000
char_0091.png,後,1.0000
char_0092.png,作,1.0000
char_0093.png,字,1.0000
char_0094.png,若,1.0000
char_0095.png,平,1.0000
char_0096.png,直,1.0000
char_0097.png,相,1.0000
char_0098.png,似,1.0000
char_0099.png,狀,1.0000
char_0100.png,如,1.0000
char_0101.png,算,1.0000
char_0102.png,子,1.0000
char_0103.png,上,1.0000
char_0104.png,下,1.0000
char_0105.png,方,1.0000
char_0106.png,整,1.0000
char_0107.png,前,1.0000
char_0108.png,後,1.0000
char_0109.png,齊,1.0000
char_0110.png,平,1.0000
char_0111.png,便,1.0000
char_0112.png,不,1.0000
char_0113.png,是,1.0000
char_0114.png,書,1.0000
char_0115.png,但,1.0000
char_0116.png,得,1.0000
char_0117.png,其,1.0000
char_0118.png,點,1.0000
char_0119.png,畫,1.0000
char_0120.png,爾,1.0000
char_0121.png,昔,1.0000
char_0122.png,宋,1.0000
char_0123.png,翼,1.0000
char_0124.png,常,1.0000
char_0125.png,作,1.0000
char_0126.png,此,1.0000
char_0127.png,書,1.0000
char_0128.png,翼,1.0000
char_0129.png,是,1.0000
char_0130.png,鍾,1.0000
char_0131.png,繇,1.0000
char_0132.png,之,1.0000
char_0133.png,弟,1.0000
char_0134.png,子,1.0000
char_0135.png,繇,1.0000
char_0136.png,乃,1.0000
char_0137.png,叱,1.0000
char_0138.png,之,1.0000
char_0139.png,翼,1.0000
char_0140.png,遂,1.0000
char_0141.png,三,1.0000
char_0142.png,年,1.0000
char_0143.png,不,1.0000
char_0144.png,敢,1.0000
char_0145.png,見,1.0000
char_0146.png,繇,1.0000
char_0147.png,即,1.0000
char_0148.png,潛,1.0000
char_0149.png,心,1.0000
char_0150.png,改,1.0000
char_0151.png,跡,1.0000
char_0152.png,每,1.0000
char_0153.png,作,1.0000
char_0154.png,一,1.0000
char_0155.png,波,1.0000
char_0156.png,常,1.0000
char_0157.png,三,1.0000
char_0158.png,過,1.0000
char_0159.png,折,1.0000
char_0160.png,筆,1.0000
char_0161.png,每,1.0000
char_0162.png,作,1.0000
char_0163.png,一,1.0000
char_0164.png,點,1.0000
char_0165.png,常,1.0000
char_0166.png,隱,1.0000
char_0167.png,鋒,1.0000
char_0168.png,而,1.0000
char_0169.png,為,1.0000
char_0170.png,之,1.0000
char_0171.png,每,1.0000
char_0172.png,作,1.0000
char_0173.png,一,1.0000
char_0174.png,橫,1.0000
char_0175.png,畫,1.0000
char_0176.png,如,1.0000
char_0177.png,列,1.0000
char_0178.png,陣,1.0000
char_0179.png,之,1.0000
char_0180.png,排,1.0000
char_0181.png,雲,1.0000
char_0182.png,每,1.0000
char_0183.png,作,1.0000
char_0184.png,一,1.0000
char_0185.png,戈,1.0000
char_0186.png,如,1.0000
char_0187.png,百,1.0000
char_0188.png,鈞,1.0000
char_0189.png,之,1.0000
char_0190.png,弩,1.0000
char_0191.png,發,1.0000
char_0192.png,每,1.0000
char_0193.png,作,1.0000
char_0194.png,一,1.0000
char_0195.png,點,1.0000
char_0196.png,如,1.0000
char_0197.png,高,1.0000
char_0198.png,峰,1.0000
char_0199.png,墜,1.0000
char_0200.png,石,1.0000
char_0201.png,屈,1.0000
char_0202.png,折,1.0000
char_0203.png,如,1.0000
char_0204.png,鋼,1.0000
char_0205.png,鉤,1.0000
char_0206.png,每,1.0000
char_0207.png,作,1.0000
char_0208.png,一,1.0000
char_0209.png,牽,1.0000
char_0210.png,如,1.0000
char_0211.png,萬,1.0000
